id,show,era,host_name,host_pct,who_dominates,third_voice,notes
A01,Lex,2019-21,Lex Fridman,,,,
A02,Lex,2023-25,Lex Fridman,,,,
A03,Lex,2019-21,Lex Fridman,,,,
A04,Lex,2019-21,Lex Fridman,,,,
A05,Lex,2019-21,Lex Fridman,,,,
A06,Lex,2019-21,Lex Fridman,,,,
A07,Lex,2019-21,Lex Fridman,,,,
A08,Lex,2019-21,Lex Fridman,,,,
A09,Lex,2023-25,Lex Fridman,,,,
A10,Lex,2023-25,Lex Fridman,,,,
A11,Lex,2023-25,Lex Fridman,,,,
A12,Lex,2023-25,Lex Fridman,,,,
A13,Lex,2023-25,Lex Fridman,,,,
A14,Lex,2023-25,Lex Fridman,,,,
A15,EconTalk,2019-21,Russ Roberts,,,,
A16,EconTalk,2019-21,Russ Roberts,,,,
A17,EconTalk,2019-21,Russ Roberts,,,,
A18,EconTalk,2023-25,Russ Roberts,,,,
A19,EconTalk,2023-25,Russ Roberts,,,,
A20,EconTalk,2023-25,Russ Roberts,,,,
