title,date,duration_s,enclosure_url,enclosure_bytes,guid
Don Cox on the Economics of Parenting,2006-03-16,2096,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/104f5e24-afbe-4721-8a99-adca4c58a6eb/cox-radio_tc.mp3?aid=rss_feed&feed=wgl4xEgL,16771137,http://www.econlib.org/library/Downloads/Cox_Radio.mp3
Michael Munger on Ticket Scalping and Opportunity Cost,2006-04-10,1785,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/6f832c26-88db-42ce-936d-436f19b97eeb/munger-radio_tc.mp3?aid=rss_feed&feed=wgl4xEgL,14283235,http://www.econlib.org/library/Downloads/Munger_Radio.mp3
Skip Sauer on the Economics of Sports,2006-04-18,2381,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/d91d2b69-9b8e-4e89-93fe-fea5669aff07/sauer-sports_tc.mp3?aid=rss_feed&feed=wgl4xEgL,19050896,http://www.econlib.org/library/Downloads/Sauer_Sports.mp3
Don Cox on the Economics of Inheritance,2006-05-04,2347,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/f5392114-336d-4648-ba67-40369a3a1e64/cox-parents_tc.mp3?aid=rss_feed&feed=wgl4xEgL,18777341,http://www.econlib.org/library/Downloads/Cox_Parents.mp3
Alex Tabarrok on the Economics of Medical Malpractice,2006-05-30,2352,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/fa34716d-b6d4-45b7-8806-15d74abc0c9b/malpractice_tc.mp3?aid=rss_feed&feed=wgl4xEgL,18821018,http://www.econlib.org/library/Downloads/Malpractice.mp3
Richard Epstein on the Economics of Organ Donation,2006-06-05,2387,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/71fcc0eb-7c4c-416c-bbab-c4d9146687a6/kidneys_tc.mp3?aid=rss_feed&feed=wgl4xEgL,19103350,http://www.econlib.org/library/Downloads/Kidneys.mp3
Russ Roberts on Intermittent Explosive Disorder: Mental Illness or Made-Up Malady?,2006-06-16,1452,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/2dc8add0-427d-4fa0-8a3e-6c2a17d2da92/robertsdisorder_tc.mp3?aid=rss_feed&feed=wgl4xEgL,5811120,http://www.econlib.org/library/Downloads/Robertsdisorder.mp3
Michael Munger on Giving Away Money: An Economist's Guide to Political Life,2006-06-23,1731,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/8a77e83a-c481-434d-a8d7-c767294f549b/mungerrentseeking_tc.mp3?aid=rss_feed&feed=wgl4xEgL,6927696,http://www.econlib.org/library/Downloads/Mungerrentseeking.mp3
An Interview with Gary Becker,2006-07-10,1790,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/1b12802c-798b-4749-ba33-9d7e005880ed/beckerinterview_tc.mp3?aid=rss_feed&feed=wgl4xEgL,7161120,http://www.econlib.org/library/Downloads/Beckerinterview.mp3
Robert Barro on Growth,2006-07-17,2839,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/7567041e-9970-4f0e-9314-f5a204b687bd/barrogrowth_tc.mp3?aid=rss_feed&feed=wgl4xEgL,11358432,http://www.econlib.org/library/Downloads/Barrogrowth.mp3
Making Schools Better: A Conversation with Rick Hanushek,2006-07-24,2067,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/68a348a5-4d74-4e48-b1f8-1d1753d026e7/hanushekeducation_tc.mp3?aid=rss_feed&feed=wgl4xEgL,8270928,http://www.econlib.org/library/Downloads/Hanushekeducation.mp3
John Cogan on Improving the Health Care System,2006-07-31,3157,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/df2e8117-c97e-475a-a7fe-dda631d222de/coganhealth_tc.mp3?aid=rss_feed&feed=wgl4xEgL,12629232,http://www.econlib.org/library/Downloads/Coganhealth.mp3
Chris Anderson and the Long Tail,2006-08-07,3156,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/e096a07a-2389-4d73-939b-95beed701b9e/andersontail_tc.mp3?aid=rss_feed&feed=wgl4xEgL,12626651,http://www.econlib.org/library/Downloads/Andersontail.mp3
The Political Economy of Power,2006-08-14,5282,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/9aba1b0e-7ccf-445d-893c-9f539d6a1ae4/buenodemesquitapower_tc.mp3?aid=rss_feed&feed=wgl4xEgL,21128359,http://www.econlib.org/library/Downloads/BuenodeMesquitapower.mp3
Milton Friedman on Money,2006-08-28,1603,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/7fe25c30-1e21-4cea-be7c-581487494780/friedmanmoney_tc.mp3?aid=rss_feed&feed=wgl4xEgL,6412748,http://www.econlib.org/library/Downloads/Friedmanmoney.mp3
Milton Friedman on Capitalism and Freedom,2006-09-04,2608,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/276f872b-bfb7-47cf-927b-c83dca21e1d2/friedmanfreedom_tc.mp3?aid=rss_feed&feed=wgl4xEgL,10432888,http://www.econlib.org/library/Downloads/Friedmanfreedom.mp3
Richard Epstein on Legislators vs. Wal-Mart,2006-09-11,2643,https://cdn.simplecast.com/audio/6fdba5/6fdba516-8381-43b0-b29f-59d05512b693/27d6d163-17b0-4fa3-ab23-2b7bc7dbeea4/epsteinwalmart_tc.mp3?aid=rss_feed&feed=wgl4xEgL,10573845,http://www.econlib.org/library/Downloads/Epsteinwalmart.mp3
