title,date,duration_s,enclosure_url,enclosure_bytes,guid
Max Tegmark: Life 3.0,2018-08-26,4958,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_max_tegmark.mp3,59509293,https://lexfridman.com/?p=3661
Christof Koch: Consciousness,2018-09-02,3577,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_christof_koch.mp3,42937560,https://lexfridman.com/?p=3701
Steven Pinker: AI in the Age of Reason,2018-10-17,2303,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_steven_pinker.mp3,27677219,https://lexfridman.com/?p=3763
Yoshua Bengio: Deep Learning,2018-10-20,2574,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_yoshua_bengio.mp3,30936014,https://lexfridman.com/?p=3767
Vladimir Vapnik: Statistical Learning,2018-11-16,3252,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_vladimir_vapnik.mp3,39166106,https://lexfridman.com/?p=3771
Guido van Rossum: Python,2018-11-22,5211,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_guido_van_rossum.mp3,62673582,https://lexfridman.com/?p=3776
Jeff Atwood: Stack Overflow and Coding Horror,2018-11-29,4815,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_jeff_atwood.mp3,57916685,https://lexfridman.com/?p=3781
Eric Schmidt: Google,2018-12-04,1998,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_eric_schmidt.mp3,24071044,https://lexfridman.com/?p=3785
Stuart Russell: Long-Term Future of AI,2018-12-09,5187,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_stuart_russell.mp3,62869397,https://lexfridman.com/?p=3789
Pieter Abbeel: Deep Reinforcement Learning,2018-12-16,2576,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_pieter_abbeel.mp3,31058826,https://lexfridman.com/?p=3800
"Juergen Schmidhuber: Godel Machines, Meta-Learning, and LSTMs",2018-12-23,4806,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_juergen_schmidhuber.mp3,59174680,https://lexfridman.com/?p=3804
Tuomas Sandholm: Poker and Game Theory,2018-12-28,3986,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_tuomas_sandholm.mp3,49397972,https://lexfridman.com/?p=3808
"Tomaso Poggio: Brains, Minds, and Machines",2019-01-19,4829,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_tomaso_poggio.mp3,59516439,https://lexfridman.com/?p=3815
Kyle Vogt: Cruise Automation,2019-02-07,3334,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_kyle_vogt.mp3,42695840,https://lexfridman.com/?p=3819
"Leslie Kaelbling: Reinforcement Learning, Planning, and Robotics",2019-03-12,3694,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_leslie_kaelbling.mp3,45001033,https://lexfridman.com/?p=3828
"Eric Weinstein: Revolutionary Ideas in Science, Math, and Society",2019-03-20,4905,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_eric_weinstein.mp3,60944742,https://lexfridman.com/?p=3831
