id,show,era,host_name,host_pct,who_dominates,third_voice,notes
A01,Lex,2019-21,Lex Fridman,60.0,HOST,N,
A02,Lex,2023-25,Lex Fridman,0.0,GUEST,N,
A03,Lex,2019-21,Lex Fridman,30.0,GUEST,N,
A04,Lex,2019-21,Lex Fridman,0.0,GUEST,N,
A05,Lex,2019-21,Lex Fridman,20.0,GUEST,N,
A06,Lex,2019-21,Lex Fridman,40.0,GUEST,N,
A07,Lex,2019-21,Lex Fridman,40.0,GUEST,N,
A08,Lex,2019-21,Lex Fridman,30.0,GUEST,N,
A09,Lex,2023-25,Lex Fridman,0.0,GUEST,N,
A10,Lex,2023-25,Lex Fridman,40.0,GUEST,N,
A11,Lex,2023-25,Lex Fridman,20.0,GUEST,N,
A12,Lex,2023-25,Lex Fridman,20.0,GUEST,N,
A13,Lex,2023-25,Lex Fridman,10.0,GUEST,N,
A14,Lex,2023-25,Lex Fridman,20.0,GUEST,N,
A15,EconTalk,2019-21,Russ Roberts,40.0,GUEST,N,
A16,EconTalk,2019-21,Russ Roberts,20.0,GUEST,N,
A17,EconTalk,2019-21,Russ Roberts,10.0,GUEST,N,
A18,EconTalk,2023-25,Russ Roberts,80.0,HOST,N,
A19,EconTalk,2023-25,Russ Roberts,40.0,GUEST,N,
A20,EconTalk,2023-25,Russ Roberts,60.0,HOST,N,
